trialID,Participant,isPractice,LayoutBlockNum,ConditionBlockNum,TrialNum,LayoutType,Condition,TargetType,PairCount,SelfRotation,RotateDirection,DecoyAmount,CurrentDecoy,RotationAmount,Baseline,Testing,DecoyBaseline,DecoyTesting,BeginTime,EndTime,ResponsePos_X,ResponsePos_Y,ResponsePos_Z,AnsPos_X,AnsPos_Y,AnsPos_Z,TargetName,ControllerPos_X,ControllerPos_Y,ControllerPoss_Z
P1002,0,False,0,0,0,C,virtualRotate,virtualTarget,1,rotate,0,3,0,80,True,False,False,False,14.207810,15.582780,0.680457,0.000000,3.358822,0.248775,0.000000,3.567441,Green Virtual Target,0.092308,0.985570,0.474245
P1002,0,False,0,0,0,C,virtualRotate,virtualTarget,0,rotate,0,3,0,80,False,False,True,False,32.620190,34.148180,0.658482,0.000000,2.814212,0.608409,0.000000,2.630198,Dotted Decoy Target,0.081051,0.940631,0.422004
P1002,0,False,0,0,0,C,virtualRotate,virtualTarget,1,rotate,0,3,0,80,False,False,True,False,34.148180,34.911140,-0.259088,0.000000,1.608254,-0.383559,0.000000,1.379112,Stripes Decoy Target,-0.011718,0.908375,0.347538
P1002,0,False,0,0,0,C,virtualRotate,virtualTarget,0,rotate,0,3,0,80,False,False,False,True,39.914210,41.775420,0.392378,0.000000,2.243745,0.608409,0.000000,2.630198,Dotted Decoy Target,0.116938,0.884852,0.453707
P1002,0,False,0,0,0,C,virtualRotate,virtualTarget,1,rotate,0,3,0,80,False,False,False,True,41.775420,42.608360,-0.351208,0.000000,1.284678,-0.383559,0.000000,1.379112,Stripes Decoy Target,-0.014695,0.843774,0.356551
P1002,0,False,0,0,0,C,virtualRotate,virtualTarget,0,rotate,0,3,1,0,False,False,True,False,59.609250,60.859970,-1.756370,0.000000,0.698420,-2.056947,0.000000,0.770743,Dotted Decoy Target,-0.237725,0.876480,0.246873
P1002,0,False,0,0,0,C,virtualRotate,virtualTarget,1,rotate,0,3,1,0,False,False,True,False,60.859970,61.775990,-3.000238,0.000000,0.295273,-3.324864,0.000000,0.357897,Stripes Decoy Target,-0.287468,0.953851,0.183630
P1002,0,False,0,0,0,C,virtualRotate,virtualTarget,0,rotate,0,3,1,0,False,False,False,True,66.788330,67.940960,-1.713089,0.000000,0.588737,-2.056947,0.000000,0.770743,Dotted Decoy Target,-0.257574,0.860234,0.237398
P1002,0,False,0,0,0,C,virtualRotate,virtualTarget,1,rotate,0,3,1,0,False,False,False,True,67.940960,68.607590,-3.252968,0.000000,0.239423,-3.324864,0.000000,0.357897,Stripes Decoy Target,-0.332371,0.944332,0.160252
P1002,0,False,0,0,0,C,virtualRotate,virtualTarget,0,rotate,0,3,2,40,False,False,True,False,85.635380,86.592900,-1.243239,0.000000,1.265160,-0.980050,0.000000,1.276152,Stripes Decoy Target,-0.179729,0.815840,0.327551
P1002,0,False,0,0,0,C,virtualRotate,virtualTarget,1,rotate,0,3,2,40,False,False,True,False,86.592900,87.496170,-3.180991,0.000000,1.106047,-3.335434,0.000000,1.116155,Dotted Decoy Target,-0.293828,0.934000,0.205801
P1002,0
