trialID,Participant,LayoutBlockNum,ConditionBlockNum,TrialNum,LayoutType,Condition,TargetType,PairCount,SelfRotation,RotateDirection,DecoyAmount,CurrentDecoy,RotationAmount,Baseline,Testing,DecoyBaseline,DecoyTesting,BeginTime,EndTime,ResponsePos_X,ResponsePos_Y,ResponsePos_Z,AnsPos_X,AnsPos_Y,AnsPos_Z,TargetName,ControllerPos_X,ControllerPos_Y,ControllerPoss_Z
P1,2,0,0,2,B,physicalStatic,physicalTarget,0,none,-1,3,0,0,False,False,False,True,37.483730,38.400730,0.281724,0.000000,0.997126,0.277696,0.000000,1.063895,Dotted Decoy Target,0.013195,0.640785,0.084320
P1,2,0,0,2,B,physicalStatic,physicalTarget,1,none,-1,3,0,0,False,False,False,True,38.400730,39.192990,-0.556607,0.000000,1.719146,-0.535500,0.000000,2.124274,Stripes Decoy Target,-0.018747,0.659621,0.068299
P1,2,0,0,2,B,physicalStatic,physicalTarget,0,none,-1,3,1,0,False,False,True,False,56.206140,57.122340,0.176397,0.000000,0.973201,-0.966672,0.000000,2.068105,Dotted Decoy Target,0.006710,0.635388,0.087080
P1,2,0,0,2,B,physicalStatic,physicalTarget,1,none,-1,3,1,0,False,False,True,False,57.122340,58.150240,-0.830471,0.000000,1.959968,0.096055,0.000000,0.912240,Stripes Decoy Target,-0.031998,0.667563,0.062953
P1,2,0,0,2,B,physicalStatic,physicalTarget,0,none,-1,3,1,0,False,False,False,True,63.163420,66.886150,-0.038626,0.000000,1.083312,0.096055,0.000000,0.912240,Stripes Decoy Target,0.034415,0.641352,0.077898
P1,2,0,0,2,B,physicalStatic,physicalTarget,1,none,-1,3,1,0,False,False,False,True,66.886150,67.969070,-0.967741,0.000000,2.104962,-0.966672,0.000000,2.068105,Dotted Decoy Target,-0.003980,0.668203,0.055548
P1,2,0,0,2,B,physicalStatic,physicalTarget,0,none,-1,3,2,0,False,False,True,False,84.982560,85.885110,-1.022835,0.000000,1.909105,-0.960865,0.000000,1.789099,Stripes Decoy Target,-0.005959,0.659079,0.063732
P1,2,0,0,2,B,physicalStatic,physicalTarget,1,none,-1,3,2,0,False,False,True,False,85.885110,86.704330,-0.101541,0.000000,2.507044,-0.037451,0.000000,2.930869,Dotted Decoy Target,0.033905,0.660407,0.082775
P1,2,0,0,2,B,physicalStatic,physicalTarget,0,none,-1,3,2,0,False,False,False,True,91.717640,92.676250,-0.993963,0.000000,1.931230,-0.960865,0.000000,1.789099,Stripes Decoy Target,-0.002695,0.652142,0.063312
P1,2,0,0,2,B,physicalStatic,physicalTarget,1,none,-1,3,2,0,False,False,False,True,92.676250,93.342580,-0.022972,0.000000,2.894973,-0.037451,0.000000,2.930869,Dotted Decoy Target,0.037860,0.658670,0.081587
P1,2,0,0,2,B,physicalStatic,physicalTarget,0,none,-1,3,0,0,False,True,False,False,98.343030,100.037000,-0.772779,0.000000,1.345296,-0.800000,0.000000,1.450000,Blue Physical Target,-0.015177,0.643102,0.058205
